bias_name,model_name,strategy,bsi_mean,sigma_stat,sigma_sys,sigma_tot,p_value,significant,n_variants,parse_failure_rate,significant_bh
anchoring,llama-3.3-70b,baseline,0.006273751296278171,0.0006236698110589339,0.013003299966365066,0.013018247733412357,0.1706852429103161,False,5,0.038,False
anchoring,mistral-large,baseline,0.0074600053329218095,0.0002264753650859718,0.01635126631931909,0.016352834657523133,0.1826641868304147,False,5,0.0,False
availability_heuristic,mistral-large,baseline,0.0,0.0,0.0,0.0,,False,4,0.0,False
representativeness,mistral-large,baseline,0.08000000000000002,0.017073949525271904,0.13466006584482773,0.13573817843821565,0.1601276849031712,False,4,0.0,False
framing_effect,mistral-large,baseline,0.6666666666666666,0.0,0.5773502691896258,0.5773502691896258,0.09175170953613701,False,3,0.0,False
sunk_cost_fallacy,mistral-large,baseline,0.0,0.0,0.0,0.0,,False,4,0.0,False
status_quo_bias,mistral-large,baseline,0.10000000000000002,0.015482027713161832,0.17320508075688776,0.17389563876679345,0.21132486540518705,False,3,0.0,False
decoy_effect,mistral-large,baseline,0.67,0.02986236250031991,0.3739875220734867,0.37517786096832423,0.0186034844044025,True,4,0.0,False
confirmation_bias,mistral-large,baseline,0.0,0.0,0.0,0.0,,False,5,0.0,False
bandwagon_effect,mistral-large,baseline,0.022500000000000003,0.009213227359339504,0.038622100754188225,0.03970579586208478,0.16409254537054058,False,4,0.0,False
authority_bias,mistral-large,baseline,0.0,0.0,0.0,0.0,,False,4,0.0,False
primacy_recency,mistral-large,baseline,0.0,0.0,0.0,0.0,,False,1,0.0,False
availability_heuristic,llama-3.3-70b,baseline,0.0,0.0,0.0,0.0,,False,4,0.0,False
representativeness,llama-3.3-70b,baseline,0.20833333333333334,0.01702551171934505,0.4166666666666667,0.4170143632543329,0.19550110947788524,False,4,0.0,False
anchoring,gpt-4.1-mini,baseline,0.0017689614324902844,0.0003199036441949131,0.0039418972680470375,0.003954856813262129,0.18621002391291208,False,5,0.0,False
anchoring,claude-3.5-sonnet,baseline,0.018138700811155047,0.005956480798753458,0.030120002954697304,0.030703326228552062,0.12467634340281643,False,5,0.0,False
availability_heuristic,gpt-4.1-mini,baseline,0.115,0.012419309559613208,0.23,0.23033505866441067,0.19550110947788524,False,4,0.0,False
representativeness,gpt-4.1-mini,baseline,0.0,0.0,0.0,0.0,,False,4,0.0,False
availability_heuristic,claude-3.5-sonnet,baseline,0.0,0.0,0.0,0.0,,False,4,0.0,False
representativeness,claude-3.5-sonnet,baseline,0.4648469387755102,0.024649345088824364,0.4753961024821001,0.47603470931065456,0.07273646242645777,False,4,0.0025,False
framing_effect,gpt-4.1-mini,baseline,0.7033333333333333,0.01047605735846162,0.5138417395787669,0.5139485199036097,0.07059504480894296,False,3,0.0,False
sunk_cost_fallacy,gpt-4.1-mini,baseline,0.0,0.0,0.0,0.0,,False,4,0.0,False
status_quo_bias,gpt-4.1-mini,baseline,0.0,0.0,0.0,0.0,,False,3,0.0,False
decoy_effect,gpt-4.1-mini,baseline,0.2525,0.0024814164805610547,0.4983556293785928,0.4983618070850568,0.1927629532980785,False,4,0.0,False
framing_effect,claude-3.5-sonnet,baseline,0.3933333333333333,0.021635093833828226,0.5103266927501767,0.5107850924004457,0.1567794609737414,False,3,0.0,False
confirmation_bias,gpt-4.1-mini,baseline,0.0,0.0,0.0,0.0,,False,5,0.0,False
bandwagon_effect,gpt-4.1-mini,baseline,0.005,0.0035323453964752655,0.01,0.010605539307361979,0.19550110947788524,False,4,0.0,False
sunk_cost_fallacy,claude-3.5-sonnet,baseline,0.2425,0.004242267016289759,0.485,0.4850185530775472,0.19550110947788524,False,4,0.0,False
authority_bias,gpt-4.1-mini,baseline,0.0,0.0,0.0,0.0,,False,4,0.0,False
status_quo_bias,claude-3.5-sonnet,baseline,0.020618556701030927,0.00812328383987475,0.03571238778492531,0.036624614423145165,0.21132486540518716,False,3,0.14833333333333334,False
primacy_recency,gpt-4.1-mini,baseline,0.95,0.022050443963784486,0.0,0.022050443963784486,,False,1,0.0,False
decoy_effect,claude-3.5-sonnet,baseline,0.2748118279569892,0.013303696912784602,0.477850771970564,0.4780359281731983,0.16671555263334398,False,4,0.00875,False
framing_effect,gemini-2.5-flash,baseline,0.47751878314188345,0.036484095403140654,0.4250750282419835,0.4266378661725991,0.09554572364924721,False,3,0.031,False
anchoring,deepseek-v3-together,baseline,0.04399741510874684,0.024725929245667255,0.06473553533794896,0.06929690550488227,0.10160283400416566,False,5,0.0,False
framing_effect,llama-3.3-70b,baseline,0.6666666666666666,0.0,0.5773502691896258,0.5773502691896258,0.09175170953613701,False,3,0.1,False
confirmation_bias,claude-3.5-sonnet,baseline,0.0,0.0,0.0,0.0,,False,5,0.0,False
sunk_cost_fallacy,gemini-2.5-flash,baseline,0.0,0.0,0.0,0.0,,False,4,0.0,False
availability_heuristic,deepseek-v3-together,baseline,0.018702749140893475,0.01872116846466604,0.02452939761852666,0.030857308635235635,0.11234270981716911,False,4,0.05375,False
