model,bias,icc,var_between,var_within,n_variants,n_trials,note
claude-3.5-sonnet,framing_effect,0.003248439120705151,6.668591902263325e-05,0.02046191767942113,2.0,313.0,
claude-3.5-sonnet,sunk_cost_fallacy,0.0,0.0,0.0,4.0,703.0,
claude-3.5-sonnet,status_quo_bias,0.0,0.0,0.0,2.0,391.0,
claude-3.5-sonnet,decoy_effect,0.40739967593243787,0.05220832756232688,0.07594181748340699,4.0,790.0,
claude-3.5-sonnet,confirmation_bias,0.0,0.0,0.0,5.0,992.0,
claude-3.5-sonnet,bandwagon_effect,0.47630432297040004,0.07918126232741618,0.08705964397722156,3.0,410.0,
claude-3.5-sonnet,authority_bias,0.0,0.0,0.0,4.0,800.0,
,,,,,,,Only 1 variant
deepseek-v3-together,framing_effect,0.07108488082821125,0.009439973265747177,0.1233586353238977,3.0,563.0,
deepseek-v3-together,sunk_cost_fallacy,0.005076142131979694,6.507705122865472e-06,0.0012755102040816328,4.0,738.0,
deepseek-v3-together,status_quo_bias,0.6072139181346297,0.14798361217566072,0.09572557787431148,3.0,498.0,
deepseek-v3-together,decoy_effect,0.18030684150558504,0.03414011957474875,0.1552044404523385,4.0,614.0,
deepseek-v3-together,confirmation_bias,0.0,0.0,0.0,5.0,902.0,
deepseek-v3-together,bandwagon_effect,0.4135242310893411,0.10291235495660699,0.14595421009450602,4.0,774.0,
deepseek-v3-together,authority_bias,0.005181347150259067,6.781684027777777e-06,0.0013020833333333335,4.0,778.0,
,,,,,,,Only 1 variant
gemini-2.5-flash,framing_effect,0.3660202326231282,0.05475885507614038,0.0948472327723494,3.0,515.0,
gemini-2.5-flash,sunk_cost_fallacy,0.0,0.0,0.0,4.0,800.0,
gemini-2.5-flash,status_quo_bias,0.779263497923395,0.214661064771713,0.06080553329652489,3.0,504.0,
gemini-2.5-flash,decoy_effect,0.149830357183236,0.028751875531341797,0.16314432008527485,4.0,798.0,
gemini-2.5-flash,confirmation_bias,0.39879759519038077,0.032,0.04824120603015075,5.0,1000.0,
gemini-2.5-flash,bandwagon_effect,0.23819159284910033,0.05740667877688598,0.1836038375483245,4.0,696.0,
gemini-2.5-flash,authority_bias,0.0,0.0,0.0,4.0,800.0,
,,,,,,,Only 1 variant
gpt-4.1-mini,framing_effect,0.44376237127608925,0.06600833333333332,0.08273869346733669,3.0,600.0,
gpt-4.1-mini,sunk_cost_fallacy,0.0,0.0,0.0,4.0,800.0,
gpt-4.1-mini,status_quo_bias,1.0,0.33333333333333337,0.0,3.0,600.0,
gpt-4.1-mini,decoy_effect,0.7805927209087709,0.22792291666666664,0.06406407035175879,4.0,800.0,
gpt-4.1-mini,confirmation_bias,0.0,0.0,0.0,5.0,1000.0,
gpt-4.1-mini,bandwagon_effect,0.9925192657243712,0.33002499999999996,0.002487437185929648,4.0,800.0,
gpt-4.1-mini,authority_bias,0.0,0.0,0.0,4.0,800.0,
,,,,,,,Only 1 variant
llama-3.1-8b,framing_effect,0.12034809267208735,0.017064910931692934,0.12473136147114212,3.0,171.0,
llama-3.1-8b,sunk_cost_fallacy,0.02058024171912305,0.0002625562577803313,0.012495129553867133,4.0,239.0,
llama-3.1-8b,status_quo_bias,0.5358056920412774,0.163734777861762,0.1418513334726958,3.0,170.0,
llama-3.1-8b,decoy_effect,0.023429992470191518,0.005970405601796805,0.24884852399848245,4.0,234.0,
llama-3.1-8b,confirmation_bias,0.43696128896444025,0.08027039416462894,0.10343099127128164,5.0,261.0,
llama-3.1-8b,bandwagon_effect,0.7096442386149758,0.19186576568967353,0.0785031815227227,4.0,230.0,
llama-3.1-8b,authority_bias,0.0,0.0,0.0,4.0,238.0,
,,,,,,,Only 1 variant
llama-3.3-70b,framing_effect,0.4915254237288136,0.08333333333333333,0.08620689655172414,3.0,97.0,
llama-3.3-70b,sunk_cost_fallacy,0.0,0.0,0.0,4.0,96.0,
llama-3.3-70b,status_quo_bias,0.0,0.0,0.0,2.0,40.0,
llama-3.3-70b,decoy_effect,0.35991454845870124,0.07389322916666667,0.13141447368421053,4.0,66.0,
llama-3.3-70b,confirmation_bias,1.0,0.20000000000000007,0.0,5.0,100.0,
llama-3.3-70b,bandwagon_effect,1.0,0.25,0.0,4.0,41.0,
llama-3.3-70b,authority_bias,0.0,0.0,0.0,4.0,80.0,
,,,,,,,Only 1 variant
minimax-m2.5,sunk_cost_fallacy,0.0,0.0,0.0,4.0,239.0,
minimax-m2.5,confirmation_bias,1.0,0.20000000000000007,0.0,5.0,344.0,
minimax-m2.5,authority_bias,0.0,0.0,0.0,4.0,358.0,
mistral-large,framing_effect,0.4987468671679198,0.08333333333333333,0.08375209380234505,3.0,600.0,
mistral-large,sunk_cost_fallacy,0.0,0.0,0.0,4.0,800.0,
mistral-large,status_quo_bias,0.14936202151613712,0.0075,0.04271356783919597,3.0,600.0,
mistral-large,decoy_effect,0.3291198662269983,0.0898365702479339,0.183123464883985,4.0,732.0,
mistral-large,confirmation_bias,0.0,0.0,0.0,5.0,1000.0,
mistral-large,bandwagon_effect,0.9669420847235943,0.31877291666666663,0.01089824120603015,4.0,800.0,
mistral-large,authority_bias,0.0,0.0,0.0,4.0,800.0,
,,,,,,,Only 1 variant
