fraction,n_trials,coef,se,pvalue,model,bias
1.0,313,-0.010829771796801899,0.018252168980559324,0.552952539943439,claude-3.5-sonnet,framing_effect
0.5,156,0.0008754863674344055,0.025632803382429306,0.9727536136004314,claude-3.5-sonnet,framing_effect
0.25,78,-2.2886282171625805e-18,,,claude-3.5-sonnet,framing_effect
0.1,30,1.5987209277981603e-19,,,claude-3.5-sonnet,framing_effect
1.0,703,0.0,,,claude-3.5-sonnet,sunk_cost_fallacy
0.5,351,0.0,,,claude-3.5-sonnet,sunk_cost_fallacy
0.25,176,0.0,,,claude-3.5-sonnet,sunk_cost_fallacy
0.1,71,0.0,,,claude-3.5-sonnet,sunk_cost_fallacy
1.0,391,0.0,,,claude-3.5-sonnet,status_quo_bias
0.5,195,0.0,,,claude-3.5-sonnet,status_quo_bias
0.25,97,0.0,,,claude-3.5-sonnet,status_quo_bias
0.1,39,0.0,,,claude-3.5-sonnet,status_quo_bias
1.0,790,0.2222137831425501,0.017636759623470808,2.1257426395397082e-36,claude-3.5-sonnet,decoy_effect
0.5,395,0.2246866567130811,0.02569355688004313,2.2328472457309138e-18,claude-3.5-sonnet,decoy_effect
0.25,197,0.20707881473062165,0.036240355147269004,1.1032548110829131e-08,claude-3.5-sonnet,decoy_effect
0.1,79,0.2395941181636265,0.049649140594303885,1.3948051122714274e-06,claude-3.5-sonnet,decoy_effect
1.0,992,0.0,,,claude-3.5-sonnet,confirmation_bias
0.5,496,0.0,,,claude-3.5-sonnet,confirmation_bias
0.25,248,0.0,,,claude-3.5-sonnet,confirmation_bias
0.1,99,0.0,,,claude-3.5-sonnet,confirmation_bias
1.0,410,0.4627901030503012,0.027130216754825343,3.042631584821913e-65,claude-3.5-sonnet,bandwagon_effect
0.5,204,0.4698298414504473,0.036607146010355134,1.052488243734685e-37,claude-3.5-sonnet,bandwagon_effect
0.25,101,0.4440789361205292,0.05399380204190934,1.9579759421035932e-16,claude-3.5-sonnet,bandwagon_effect
0.1,40,0.48032223787030365,0.08319113616012588,7.754074113961019e-09,claude-3.5-sonnet,bandwagon_effect
1.0,800,0.0,,,claude-3.5-sonnet,authority_bias
0.5,400,0.0,,,claude-3.5-sonnet,authority_bias
0.25,200,0.0,,,claude-3.5-sonnet,authority_bias
0.1,80,0.0,,,claude-3.5-sonnet,authority_bias
1.0,563,0.28288951637634263,0.02719592915008193,2.4302109512370427e-25,deepseek-v3-together,framing_effect
0.5,280,0.283734198376526,0.03921581140804351,4.648471172787252e-13,deepseek-v3-together,framing_effect
0.25,138,0.28514504621103126,0.05588385433833651,3.352693256947868e-07,deepseek-v3-together,framing_effect
0.1,53,0.3762983815485686,0.08974666734898391,2.7541655273987695e-05,deepseek-v3-together,framing_effect
1.0,738,-0.0025595198529363003,0.0027196273837227637,0.3466388211953345,deepseek-v3-together,sunk_cost_fallacy
0.5,366,-0.0051594150206478485,0.005484591356317651,0.3468530176401021,deepseek-v3-together,sunk_cost_fallacy
