bias,failures,total,failure_rate
representativeness,1501,5280,0.28428030303030305
anchoring,2004,7300,0.2745205479452055
availability_heuristic,1403,5280,0.265719696969697
primacy_recency,1011,3960,0.2553030303030303
overconfidence,923,3960,0.23308080808080808
status_quo_bias,825,3960,0.20833333333333334
bandwagon_effect,1036,5280,0.1962121212121212
decoy_effect,969,5280,0.18352272727272728
framing_effect,1061,6600,0.16075757575757577
sunk_cost_fallacy,706,5280,0.1337121212121212
confirmation_bias,856,6600,0.1296969696969697
authority_bias,602,5280,0.11401515151515151
