bias,claude-3.5-sonnet,deepseek-v3-together,gemini-2.5-flash,gpt-4.1-mini,llama-3.1-8b,llama-3.3-70b,minimax-m2.5,mistral-large
anchoring,0.0,0.0,1.0,0.0,0.0,0.038,0.966,0.0
authority_bias,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5525,0.0
availability_heuristic,0.0,0.05375,1.0,0.0,0.0,0.0,0.7,0.0
bandwagon_effect,0.02375,0.0025,0.0675,0.0,0.004166666666666667,0.6666666666666666,1.0,0.0
confirmation_bias,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.656,0.0
decoy_effect,0.00875,0.0,0.0025,0.0,0.0,0.6666666666666666,1.0,0.0
framing_effect,0.0,0.0,0.031,0.0,0.0,0.1,1.0,0.0
overconfidence,0.0,0.0016666666666666668,0.54,0.0,0.0,0.0,0.9966666666666667,0.0
primacy_recency,0.3333333333333333,0.03166666666666667,0.11833333333333333,0.0,0.005555555555555556,0.6666666666666666,1.0,0.0
representativeness,0.0025,0.005,1.0,0.0,0.004166666666666667,0.0,0.8675,0.0
status_quo_bias,0.14833333333333334,0.005,0.023333333333333334,0.0,0.0,0.6666666666666666,0.9983333333333333,0.0
sunk_cost_fallacy,0.0,0.0025,0.0,0.0,0.0,0.5958333333333333,0.70125,0.0
